 time_ms; accl_x; accl_y; accl_z;;;;;;;;;time;acc_x;acc_y;acc_z;;;;;;
1554603;-88;84;2125;;-42,944;40,992;1037;;;;;1554,603;-0,042944;0,040992;1,037;;;;;;1554603
1554921;-91;91;2124;;-44,408;44,408;1036,512;;;;;1554,921;-0,044408;0,044408;1,036512;;;;;;1554921
1555153;-91;87;2124;;-44,408;42,456;1036,512;;;;;1555,153;-0,044408;0,042456;1,036512;;;;;;1555153
1555605;-87;87;2126;;-42,456;42,456;1037,488;;;;;1555,605;-0,042456;0,042456;1,037488;;;;;;1555605
1555943;-88;86;2127;;-42,944;41,968;1037,976;;;;;1555,943;-0,042944;0,041968;1,037976;;;;;;1555943
1556260;-91;86;2126;;-44,408;41,968;1037,488;;;;;1556,26;-0,044408;0,041968;1,037488;;;;;;1556260
1556607;-85;89;2125;;-41,48;43,432;1037;;;;;1556,607;-0,04148;0,043432;1,037;;;;;;1556607
1556835;-90;87;2126;;-43,92;42,456;1037,488;;;;;1556,835;-0,04392;0,042456;1,037488;;;;;;1556835
1557153;-92;87;2124;;-44,896;42,456;1036,512;;;;;1557,153;-0,044896;0,042456;1,036512;;;;;;1557153
1557472;-86;87;2126;;-41,968;42,456;1037,488;;;;;1557,472;-0,041968;0,042456;1,037488;;;;;;1557472
1557727;-86;85;2122;;-41,968;41,48;1035,536;;;;;1557,727;-0,041968;0,04148;1,035536;;;;;;1557727
1558045;-89;92;2124;;-43,432;44,896;1036,512;;;;;1558,045;-0,043432;0,044896;1,036512;;;;;;1558045
1558596;-88;86;2122;;-42,944;41,968;1035,536;;;;;1558,596;-0,042944;0,041968;1,035536;;;;;;1558596
1558832;-85;87;2123;;-41,48;42,456;1036,024;;;;;1558,832;-0,04148;0,042456;1,036024;;;;;;1558832
1559150;-90;89;2125;;-43,92;43,432;1037;;;;;1559,15;-0,04392;0,043432;1,037;;;;;;1559150
1559595;-92;88;2125;;-44,896;42,944;1037;;;;;1559,595;-0,044896;0,042944;1,037;;;;;;1559595
1559936;-87;86;2125;;-42,456;41,968;1037;;;;;1559,936;-0,042456;0,041968;1,037;;;;;;1559936
1560253;-81;85;2124;;-39,528;41,48;1036,512;;;;;1560,253;-0,039528;0,04148;1,036512;;;;;;1560253
1560592;-88;92;2124;;-42,944;44,896;1036,512;;;;;1560,592;-0,042944;0,044896;1,036512;;;;;;1560592
1560911;-87;85;2124;;-42,456;41,48;1036,512;;;;;1560,911;-0,042456;0,04148;1,036512;;;;;;1560911
1561146;-89;87;2124;;-43,432;42,456;1036,512;;;;;1561,146;-0,043432;0,042456;1,036512;;;;;;1561146
1561485;-89;87;2123;;-43,432;42,456;1036,024;;;;;1561,485;-0,043432;0,042456;1,036024;;;;;;1561485
1561803;-87;86;2125;;-42,456;41,968;1037;;;;;1561,803;-0,042456;0,041968;1,037;;;;;;1561803
1562265;-85;88;2123;;-41,48;42,944;1036,024;;;;;1562,265;-0,04148;0,042944;1,036024;;;;;;1562265
1562589;-90;87;2126;;-43,92;42,456;1037,488;;;;;1562,589;-0,04392;0,042456;1,037488;;;;;;1562589
1562916;-88;89;2123;;-42,944;43,432;1036,024;;;;;1562,916;-0,042944;0,043432;1,036024;;;;;;1562916
1563167;-87;87;2122;;-42,456;42,456;1035,536;;;;;1563,167;-0,042456;0,042456;1,035536;;;;;;1563167
1563486;-88;86;2123;;-42,944;41,968;1036,024;;;;;1563,486;-0,042944;0,041968;1,036024;;;;;;1563486
1563804;-87;90;2124;;-42,456;43,92;1036,512;;;;;1563,804;-0,042456;0,04392;1,036512;;;;;;1563804
1564032;-87;89;2127;;-42,456;43,432;1037,976;;;;;1564,032;-0,042456;0,043432;1,037976;;;;;;1564032
1564484;-88;89;2123;;-42,944;43,432;1036,024;;;;;1564,484;-0,042944;0,043432;1,036024;;;;;;1564484
1564924;-87;89;2124;;-42,456;43,432;1036,512;;;;;1564,924;-0,042456;0,043432;1,036512;;;;;;1564924
1565242;-87;88;2129;;-42,456;42,944;1038,952;;;;;1565,242;-0,042456;0,042944;1,038952;;;;;;1565242
1565588;-87;88;2122;;-42,456;42,944;1035,536;;;;;1565,588;-0,042456;0,042944;1,035536;;;;;;1565588
1565816;-90;88;2126;;-43,92;42,944;1037,488;;;;;1565,816;-0,04392;0,042944;1,037488;;;;;;1565816
1566135;-88;87;2124;;-42,944;42,456;1036,512;;;;;1566,135;-0,042944;0,042456;1,036512;;;;;;1566135
1566607;-90;89;2124;;-43,92;43,432;1036,512;;;;;1566,607;-0,04392;0,043432;1,036512;;;;;;1566607
1566925;-86;87;2124;;-41,968;42,456;1036,512;;;;;1566,925;-0,041968;0,042456;1,036512;;;;;;1566925
1567243;-90;91;2122;;-43,92;44,408;1035,536;;;;;1567,243;-0,04392;0,044408;1,035536;;;;;;1567243
1567609;-83;91;2123;;-40,504;44,408;1036,024;;;;;1567,609;-0,040504;0,044408;1,036024;;;;;;1567609
1567927;-91;90;2128;;-44,408;43,92;1038,464;;;;;1567,927;-0,044408;0,04392;1,038464;;;;;;1567927
1568249;-88;90;2125;;-42,944;43,92;1037;;;;;1568,249;-0,042944;0,04392;1,037;;;;;;1568249
1568584;-86;90;2124;;-41,968;43,92;1036,512;;;;;1568,584;-0,041968;0,04392;1,036512;;;;;;1568584
1568819;-88;89;2124;;-42,944;43,432;1036,512;;;;;1568,819;-0,042944;0,043432;1,036512;;;;;;1568819
1569137;-92;92;2127;;-44,896;44,896;1037,976;;;;;1569,137;-0,044896;0,044896;1,037976;;;;;;1569137
1569472;-90;86;2124;;-43,92;41,968;1036,512;;;;;1569,472;-0,04392;0,041968;1,036512;;;;;;1569472
1569919;-87;88;2124;;-42,456;42,944;1036,512;;;;;1569,919;-0,042456;0,042944;1,036512;;;;;;1569919
1570252;-89;87;2124;;-43,432;42,456;1036,512;;;;;1570,252;-0,043432;0,042456;1,036512;;;;;;1570252
1570580;-87;89;2123;;-42,456;43,432;1036,024;;;;;1570,58;-0,042456;0,043432;1,036024;;;;;;1570580
1571047;-89;91;2123;;-43,432;44,408;1036,024;;;;;1571,047;-0,043432;0,044408;1,036024;;;;;;1571047
1571577;-89;90;2123;;-43,432;43,92;1036,024;;;;;1571,577;-0,043432;0,04392;1,036024;;;;;;1571577
1571911;-88;89;2126;;-42,944;43,432;1037,488;;;;;1571,911;-0,042944;0,043432;1,037488;;;;;;1571911
1572146;-85;91;2126;;-41,48;44,408;1037,488;;;;;1572,146;-0,04148;0,044408;1,037488;;;;;;1572146
1572571;-92;90;2123;;-44,896;43,92;1036,024;;;;;1572,571;-0,044896;0,04392;1,036024;;;;;;1572571
1572904;-81;87;2126;;-39,528;42,456;1037,488;;;;;1572,904;-0,039528;0,042456;1,037488;;;;;;1572904
1573245;-91;90;2126;;-44,408;43,92;1037,488;;;;;1573,245;-0,044408;0,04392;1,037488;;;;;;1573245
